Insurances,Parameter Name / Coverages & Assistances,German Label,English Label,Reference to T&C,Compact  - Eco,,,,Comfort,,,,,"what's covered, what's not",Switch Tarif - Wechseltarif,,,
,,,,,Limit,Deductible,German Label,English Label,Limit,Deductible,German Label,English Label,Default,,Limit,Deductible,German Label,English Label
"Kfz-Haftpflichtversicherung (KH)  
/ Car Liability ",car.coverage.personal-injury,"Versicherungssumme für Personenschäden (je geschädigter Person)
",Personal Injury, A.1.3.1,8.000.000 €,0,bis zu 8.000.000 €,up to 8.000.000 €,15.000.000 €,-,bis zu 15.000.000 €,up to 15.000.000 €,,"ja
(Personen und Sachschäden zusammen) ",15.000.000 €,-,bis zu 15.000.000 €,up to 15.000.000 €
,car.coverage.property-damage,"Versicherungssumme bei Sach-, Vermögensschäden",Property Damage,A.1.3.1,100.000.000 €,0,bis zu 100.000.000 €,up to 100.000.000 €,100.000.000 €,-,bis zu 100.000.000 €,up to 100.000.000 €,,,100.000.000 €,-,bis zu 100.000.000 €,up to 100.000.000 €
,car.coverage.extended-car-rental-protection-personal-injury,Erweiterter Mietwagenschutz im Ausland (Mallorca Police) für Personenschäden,Extended Car Rental Protection - Personal Injury,A.1.1.6,8.000.000 €,0,bis zu 8.000.000 €,up to 8.000.000 €,15.000.000 €,-,bis zu 15.000.000 €,up to 15.000.000 €,,"ja
Mallorca Police  für Personen und Sachschaden",15.000.000 €,-,bis zu 15.000.000 €,up to 15.000.000 €
,car.coverage.extended-car-rental-protection-property-damage,Erweiterter Mietwagenschutz im Ausland (Mallorca Police) für Sach- und Vermögensschäden,Extended Car Rental Protection - Property damage,A.1.1.6,100.000.000 €,0,bis zu 100.000.000 €,up to 100.000.000 €,100.000.000 €,-,bis zu 100.000.000 €,up to 100.000.000 €,,,100.000.000 €,-,bis zu 100.000.000 €,up to 100.000.000 €
,car.coverage.first-party-damage-coverage,Eigenschadendeckung,first party damage,A.1.5.6,-,0,nicht enthalten,not included,100.000 €,500€,bis zu 100.000 € mit Werkstattbindung,up to 100.000 € with garage binding,,ja,100.000 €,500€,bis zu 100.000 € mit Werkstattbindung,up to 100.000 € with garage binding
,car.coverage.discount-protection,"Rabattschutz, inklusive Schäden, die durch deliktunfähige Kinder verursacht wurden",discount protection,I.5.2,-,-,enthalten / nicht enthalten,included / not included,-,-,enthalten / nicht enthalten,included / not included,no,ja,-,-,enthalten / nicht enthalten,included / not included
,car.coverage.driver-protection,Fahrerschutzversicherung,driver protection,"Aufnehmen, falls nicht zu viel Aufwand",-,-,nicht enthalten,not included,-,-,nicht enthalten,not included,,ja,-,-,nicht enthalten,not included
,car.coverage.abroad-protection,Auslandschadenschutz (Grüne Karte),abroad protection,A.1.4.1,100.000.000 €,0,"geografisches Europa und EU, 
bis zu 100.000.000 €","geographical Europe and EU, up to 100.000.000 €",100.000.000 €,-,"geografisches Europa und EU, 
bis zu 100.000.000 €","geographical Europe and EU, up to 100.000.000 €",,ja,100.000.000 €,-,"geografisches Europa und EU, 
bis zu 100.000.000 €","geographical Europe and EU, up to 100.000.000 €"
,car.coverage.better-performance-guarantee,Besserleistungsgarantie bzgl. Vorversicherungsvertrag - KH,"better performance guarantee w.r.t. to the previous 
insurance",,-,-,nicht enthalten,not included,-,-,nicht enthalten,not included,,nein,-,-,enthalten,included
,car.coverage.assistance.yes,Kfz-Schutzbrief,Assistance,E.1.4,-,-,enthalten / nicht enthalten,included / not included,-,-,enthalten / nicht enthalten,included / not included,no / no ,ja,-,-,enthalten / nicht enthalten,included / not included
,car.coverage.environmental-damage,Ansprüche nach dem Umweltschadengesetz,Claims under the Environmental Damage Act,missing,100.000.000 €,-,bis zu 100.000.000 €,up to 100.000.000 €,-,-,bis zu 100.000.000 €,up to 100.000.000 €,,ja,100.000.000 €,-,bis zu 100.000.000 €,up to 100.000.000 €
"Teilkasko (TK)  
/ Partial Comprehensive",car.coverage.animal-bites,Schäden durch Tierbiss und Folgeschäden,Damages caused by animal bites,A.2.2.1.6,3.000€,Ded-TK,bis zu 3.000 €,up to 3.000 €,-,Ded-TK,bis zum Fahrzeugwert,up to the vehicle value,,ja,-,Ded-TK,bis zum Fahrzeugwert,up to the vehicle value
,car.coverage.short-circuit,Kurzschlussschäden an der Verkabelung und Folgeschäden,short circuit damage,A.2.2.1.7,3.000€,Ded-TK,bis zu 3.000 €,up to 3.000 €,5.000 €,Ded-TK,bis zu 5.000 €,up to 5.000 €,,ja,5.000 €,Ded-TK,bis zu 5.000 €,up to 5.000 €
,car.coverage.gross-negligence,Verzicht auf Einwand bei grober Fahrlässigkeit,Waiver of objection in case of gross negligence ,A.2.9.1,-,Ded-TK,nicht enthalten,not included,-,Ded-TK,"enthalten, bis zum Fahrzeugwert","included, up to the vehicle value",,nein,-,Ded-TK,"enthalten, bis zum Fahrzeugwert","included, up to the vehicle value"
,car.coverage.special-equipment,Absicherung von Sonderausstattung (z.B. Navi),Protection of special equipment,A.2.1.2.2,5.000 €,Ded-TK,bis zu 5.000 €,up to 5.000 €,5.000 €,Ded-TK,bis zu 5.000 €,up to 5.000 €,,ja,5.000 €,Ded-TK,bis zu 5.000 €,up to 5.000 €
,car.coverage.part-replacement.deductible,Ersatz alter Teile durch neue ohne Abzug,replacement of parts without deduction,A.2.5.2.4,-,-,enthalten,included,-,-,enthalten,included,,nein,-,-,enthalten,included
,car.coverage.elemental,Elementarschäden,Elemental Damages,A.2.2.1.3,-,Ded-TK,bis zum Fahrzeugwert,up to the vehicle value,-,Ded-TK,bis zum Fahrzeugwert,up to the vehicle value,,ja,-,Ded-TK,bis zum Fahrzeugwert,up to the vehicle value
,car.coverage.elemental-extended,Erweiterte Deckung von Elementarschäden,Extended Elemental Damages,A.2.2.1.3 ,-,Ded-TK,bis zum Fahrzeugwert,up to the vehicle value,-,Ded-TK,bis zum Fahrzeugwert,up to the vehicle value,,,-,Ded-TK,bis zum Fahrzeugwert,up to the vehicle value
,car.coverage.garage-binding.yes,Werkstattbindung,Garage Binding,A.2.5.2.2,-,-,enthalten,included,-,-,nicht enthalten,not included,,ja,-,-,nicht enthalten,not included
,car.coverage.animal-damage-protection,Zusammenstoß mit Tieren,Animal Damage Protection,A.2.2.1.4,-,Ded-TK,"alle Tiere, bis zum Fahrzeugwert","all animals, up to the vehicle value",-,Ded-TK,"alle Tiere, bis zum Fahrzeugwert","all animals, up to the vehicle value",,ja (wichtig: Alle Tiere enthalten),-,Ded-TK,"alle Tiere, bis zum Fahrzeugwert","all animals, up to the vehicle value"
,car.coverage.glass-deduction.yes,Verzicht auf Selbstbehalt bei Reparatur des  Glasbruchschadens,glass repair coverage without deduction,A.2.5.8,-,-,enthalten,included,-,-,enthalten,included,,ja (zusammen mit Glasbruch Austausch),-,-,enthalten,included
,car.coverage.refund-purchase-price,Erstattung Kaufpreis (rel. Für Gebrauchtwagen),refund of purchase price,A.2.5.1.4,-,-,nicht enthalten,not included,-,-,bis zu 24 Monate Fahrzeugalter bei Totalschaden oder Diebstahl,up to 24 month in case of total damage or theft,,ja (zusammen mit Neupreiserstattung) ,-,-,bis zu 24 Monate Fahrzeugalter bei Totalschaden oder Diebstahl,up to 24 month in case of total damage or theft
,car.coverage.registration-transfer-costs,Zulassungs- u. Überführungskosten bei Neuwertentschädigung Pkw,registration and transfer costs,A.2.5.7.1,-,Ded-TK,enthalten,included,-,Ded-TK,enthalten,included,,ja (zusammenfassen),-,Ded-TK,enthalten,included
,car.coverage.recycling-costs,Entsorgungs- u. Resteverwertungskosten bei Totalschaden Pkw,recycling cost In case of total loss,A.2.5.7.2,-,Ded-TK,enthalten,included,-,Ded-TK,enthalten,included,,,-,Ded-TK,enthalten,included
,car.coverage.replacement-operating-materials,Ersatz von Brems- und Betriebsstoffen bei Pkw-Reparatur,replacement of operating materials,A.2.5.2.1,-,Ded-TK,enthalten,included,-,Ded-TK,enthalten,included,,,-,Ded-TK,enthalten,included
,car.coverage.compensation-new-value,Neuwertentschädigung (rel. für Neuwagen),compensation new vehicle value,A.2.5.1.2,-,-,nicht enthalten,not included,-,-,bis zu 24 Monate Fahrzeugalter,up to 24 month,,ja(zusammenfassen mit Erstattung Kaufpreis),-,-,bis zu 24 Monate Fahrzeugalter,up to 24 month
,car.coverage.fire-and-explosion,Brand und Explosion,fire and explosion,A.2.2.1.1,-,Ded-TK,bis zum Fahrzeugwert,up to the vehicle value,-,Ded-TK,bis zum Fahrzeugwert,up to the vehicle value,,ja ,-,Ded-TK,bis zum Fahrzeugwert,up to the vehicle value
,car.coverage.glass,Glasbruch bei Austausch,glass damage,A.2.2.1.5,-,Ded-TK,bis zum Fahrzeugwert,up to the vehicle value,-,Ded-TK,bis zum Fahrzeugwert,up to the vehicle value,,ja (zusammenfassen mit Glasbruch Reparatur) ,-,Ded-TK,bis zum Fahrzeugwert,up to the vehicle value
,car.coverage.theft-and-robbery,Diebstahl und Raub ,theft and robbery,A.2.2.1.2,-,Ded-TK,bis zum Fahrzeugwert,up to the vehicle value,-,Ded-TK,bis zum Fahrzeugwert,up to the vehicle value,,ja,-,Ded-TK,bis zum Fahrzeugwert,up to the vehicle value
,car.coverage.better-performance-guarantee,Besserleistungsgarantie bzgl. Vorversicherungsvertrag -TK,Better performance guarantee,,-,-,nicht enthalten,not included,-,-,nicht enthalten,not included,,nein,-,-,enthalten,included
"Vollkasko (VK) /  
Fully Comprehensive",car.coverage.own-vehicle-self-damage,Selbst verschuldete Schäden am eigenen Fahrzeug,self caused damage own vehicle,A.2.2.2.2,-,Ded-VK,bis zum Fahrzeugwert,up to the vehicle value,-,Ded-VK,bis zum Fahrzeugwert,up to the vehicle value,,ja,-,Ded-VK,bis zum Fahrzeugwert,up to the vehicle value
,car.coverage.major-damage-using-ships,Große Havarie bei der Benutzung von Schiffen und Fähren bei Pkw in der VK,Major damage during the use of ships and ferries for passenger cars,A.2.2.2.4,-,Ded-VK,bis zum Fahrzeugwert,up to the vehicle value,-,Ded-VK,bis zum Fahrzeugwert,up to the vehicle value,,nein,-,Ded-VK,bis zum Fahrzeugwert,up to the vehicle value
,car.coverage.discount-protection,Rabattschutz,Discount Protection VK,siehe oben,-,-,enthalten / nicht enthalten,included / not included,-,-,enthalten / nicht enthalten,included / not included,no / no ,ja ( siehe oben Rabattschutz KH) ,-,-,enthalten / nicht enthalten,included / not included
,car.coverage.gap-coverage,GAP Deckung für Leasing-Fahrzeuge,GAP Coverage,A.2.5.1.5,-,-,enthalten / nicht enthalten,included / not included,-,-,enthalten / nicht enthalten,included / not included,no / no ,ja,-,-,enthalten / nicht enthalten,included / not included
,car.coverage.vandalism,Vandalismus und mutwillige Beschädigung,Vandalism Protection,A.2.2.2.3,-,Ded-VK,bis zum Fahrzeugwert,up to the vehicle value,-,Ded-VK,bis zum Fahrzeugwert,up to the vehicle value,,ja,-,Ded-VK,bis zum Fahrzeugwert,up to the vehicle value
,car.coverage.better-performance-guarantee,Besserleistungsgarantie bzgl. Vorversicherungsvertrag - VK,Better performance guarantee,A.6,-,-,nicht enthalten,not included,-,-,nicht enthalten,not included,,nein,-,-,enthalten,included
,car.coverage.tow-damage,Schäden zwischen ziehendem und gezogenem Fahrzeug/Anhänger (ohne Impuls von Außen),tow damage,A.2.2.2.2,-,Ded-VK,bis zum Fahrzeugwert,up to the vehicle value,-,Ded-VK,bis zum Fahrzeugwert,up to the vehicle value,,nein,-,Ded-VK,bis zum Fahrzeugwert,up to the vehicle value
General Features,car.coverage.service-hotline.yes,Service-Hotline,service hotline,not in T&Cs,-,-,enthalten  ,included  ,-,-,enthalten,included  ,,ja (zusammen definieren),-,-,enthalten,included  
,car.coverage.24-hrs-claims-hotline.yes,24-Stunden Schadenhotline,24-hrs claims hotline,not in T&Cs,-,-,enthalten  ,included  ,-,-,enthalten,included  ,,,-,-,enthalten,included  