Company,,VHV,,Wefox Comfort AS IS,,Wefox Comfort TO BE,weight,old,new,surcharge,,,
Tariff,,VHV Exclusive Guarantee,,Wefox Comfort,,Wefox Comfort,,,,3.26%,,,wefox better than competitor
Premium,,50.23,,,,,,,,,,,wefox worse than competitor
Performance,,99 / 117,,,,,,,,,,,
Conditions & Additional Information,,,,,,,100.00%,97.08%,100.25%,,,old comfort,new comfort
Sum insured,,,,,,,75.00%,76.50%,78.75%,,old compact,114.78%,118.52%
Personal injury and property damage,,"EUR 50,000,000 flat rate,
max. EUR 15,000,000 per person",,"EUR 25,000,000",,"EUR 50,000,000",60.00%,61.20%,63.00%,,new compact,98.81%,102.04%
Pecuniary loss,,"EUR 50,000,000",,"EUR 25,000,000",,"EUR 50,000,000",10%,10.20%,10.50%,,,,
Rental property damage,,"EUR 50,000,000",,"EUR 25,000,000",,"EUR 50,000,000",5%,5.10%,5.25%,,,,
Deductible in case of damage,,no,,"0, 150, 300, 500, 1,000",,"0, 150, 300, 500, 1,000",,,,,,,
Future performance improvements,2,insured,2,insured,2,insured,,,,,,,
Premium exemption in the event of unemployment,1,also insured up to 12 months,0,not insured,1,also insured up to 12 months,,,,,,,
Insured persons,,,,,,,,,,,,,
Spouse or partner (if living in the household),0,not insured,2,insured,2,insured,,,,,,,
"Children underage, unmarried (including stepchildren, adoptive children and foster children)",0,not insured,2,insured,2,insured,,,,,,,
"Children of legal age, unmarried, during their school education, vocational training, civil service or basic military service",0,not insured,2,insured,2,insured,,,,,,,
Single parent living in the household,0,not insured,2,insured,2,insured,,,,,,,
Domestic workers in the course of their work (damage to third parties),2,insured,2,insured,2,insured,,,,,,,
Claims for recourse by social insurance carriers against the policyholder of co-insured persons,2,insured,2,insured,2,insured,,,,,,,
Insured activities,,,,,,,5%,3%,5%,,,,
"Childminder, unpaid work",2,insured,2,insured,2,insured,0.8%,0.8%,0.8%,,,,
"Childminder, also paid work",2,insured,0,not insured,2,insured,0.8%,0.0%,0.8%,,,,
Courtesy damages (if you help someone and break something in the process),2,insured,0,not insured,2,insured,0.8%,0.0%,0.8%,,,,
Practical training (laboratory work),2,insured,2,insured,2,insured,0.8%,0.8%,0.8%,,,,
Internships,2,insured,2,insured,2,insured,0.8%,0.8%,0.8%,,,,
Voluntary work,2,insured,2,insured,2,insured,0.8%,0.8%,0.8%,,,,
Other performance inclusions,,,,,,,6%,6%,3%,,,,
Incapacitated children,0,not insured,2,insured,2,insured,1%,1%,1%,,,,
Default cover (loss of receivables) - Bad debt coverage,2,insured,2,insured,2,insured,2%,2%,2%,,,,
Legal protection for default coverage,1,"also insured from 2,500
EUR damage amount",1,"insured, max €150,000",1,"insured, max €150,000",1%,1%,0,,,,
"Rented, borrowed things",2,insured,2,insured,2,insured,2%,2%,0,,,,
Lost key,,,,,,,2.5%,2.5%,2.0%,,,,
Lost key of your own keys for owner-occupied residential property,0,not insured,0,not insured,0,not insured,,,,,,,
"Lost key, someone else's private key (rented apartment)",2,"also insured up to EUR
50,000,000",1,"also insured up to EUR
100,000",1,"also insured up to EUR
50,000,000",,,,,,,
Lost key for the central locking system (no personal damage),2,"also insured up to EUR
50,000,000",1,"also insured up to EUR
100,000",1,"also insured up to EUR
50,000,000",,,,,,,
Key loss of third-party service keys,2,"also insured up to EUR
50,000,000",1,"also insured up to EUR
100,000",1,"also insured up to EUR
50,000,000",,,,,,,
Abroad,,,,,,,1%,1%,1%,,,,
Stay abroad,2,"also insured Europe-wide
unlimited, worldwide up to 5 years",1,"Europe: unlimited
Worldwide: 60 months",1,"Europe: unlimited
Worldwide: 60 months",,,,,,,
Reside,,,,,,,7%,5%,7%,,,,
"Domestic sewage, damage",2,insured,2,insured,2,insured,0.75%,0.75%,0.75%,,,,
Gradual damage,2,insured,2,insured,2,insured,0.25%,0.25%,0.25%,,,,
Builder's liability on the house or property,1,"also insured up to EUR 200,000",2,insured,2,insured,0.25%,0.25%,0.25%,,,,
"Condominiums in Germany, rented (a visitor falls in your rented apartment)",2,insured,2,insured,2,insured,0.25%,0.25%,0.25%,,,,
Granny flat rented out in owner-occupied house,2,insured,0,not insured,2,insured,0.75%,0.00%,0.75%,,,,
"Detached house owner-occupied, house and landowner liability",2,insured,0,not insured,2,insured,0.75%,0.00%,0.75%,,,,
"Two-family house owner-occupied, house and landowner liability",2,"also insured up to 2
residential units or EUR
30,000 JBM
",0,not insured,1,"also insured up to 2
residential units or EUR
30,000 JBM
",0.25%,0.00%,0.25%,,,,
"Apartment building owner-occupied, house and landowner liability",1,"also insured up to 2
residential units or 30,000
EUR JBMW",2,insured,2,insured,0.25%,0.25%,0.25%,,,,
Self-occupied holiday home/apartment inland,2,insured,2,insured,2,insured,0.25%,0.25%,0.25%,,,,
Rental of a holiday home,2,insured,2,insured,2,insured,0.25%,0.25%,0.25%,,,,
Apartment / holiday home / holiday home in the European Abroad without rental,2,insured,2,insured,2,insured,0.25%,0.25%,0.25%,,,,
Rental of holiday rooms,1,also insured up to 8 beds,2,insured,2,insured,0.25%,0.25%,0.25%,,,,
Vacant lots,2,"also insured up to 10,000 sqm",1,"also insured up to 10,000 sqm",1,"also insured up to 10,000 sqm",0.25%,0.25%,0.25%,,,,
Water damage liability (except for systems such as heating oil tanks for storing water-polluting substances),2,insured,2,insured,2,insured,0.25%,0.25%,0.25%,,,,
Heating oil tank above ground,2,also insured unlimited volume,2,insured,2,insured,0.25%,0.25%,0.25%,,,,
Oil tank underground,2,also insured unlimited volume,2,insured,2,insured,0.25%,0.25%,0.25%,,,,
Personal damage caused by the heating oil tank on immovable property,2,insured,2,insured,2,insured,0.25%,0.25%,0.25%,,,,
"Risk of water damage Small containers, eg paints",2,"also insured up to 1,000 litres/kg total capacity",2,insured,2,insured,0.25%,0.25%,0.25%,,,,
Photovoltaic system,2,insured,2,insured,2,insured,0.25%,0.25%,0.25%,,,,
"Weapons, private property without hunting",2,insured,2,insured,2,insured,0.25%,0.25%,0.25%,,,,
Damage caused by electronic data exchange/Internet use,2,"also insured up to EUR 50,000,000
",2,insured,2,insured,0.25%,0.25%,0.25%,,,,
Locomotion,,,,,,,3.25%,2.25%,3.25%,,,,
Work machines (e.g. lawn mowers) and wheelchairs with and without a motor without a license requirement,2,insured,2,insured,2,insured,0.25%,0.25%,0.25%,,,,
"Bicycles, damage to third parties through use",2,insured,2,insured,2,insured,1%,1.00%,1.00%,,,,
Rented motor boats,1,"also insured for occasional use, own motor boats up to 15 hp engine power",2,insured,2,insured,0.25%,0.25%,0.25%,,,,
"Model vehicles, remote controlled",2,also insured without limitation of the number of pieces and maximum speed,2,insured,2,insured,0.25%,0.25%,0.25%,,,,
"Aircraft, model airplanes, kites",1,"also insured are model aircraft, unmanned balloons and kites that are not driven by engines or propellants up to 5 kg for private use that are not subject to compulsory insurance",2,insured,2,insured,0.25%,0.00%,0.25%,,,,
Drones,2,Drones up to 5 kg are also insured,2,insured,2,insured,0.25%,0.00%,0.25%,,,,
"Rowing boats, rented sailing boats",2,"Rowing boats are also insured, sailing boats see conditions
",2,insured,2,insured,0.25%,0.00%,0.25%,,,,
Own surfboards,2,insured,2,insured,2,insured,0.25%,0.25%,0.25%,,,,
Borrowed surfboards,2,insured,2,insured,2,insured,0.25%,0.25%,0.25%,,,,
Loading and unloading damage to third-party vehicles,2,"also insured, EUR 10,000,
EUR 150 SB",0,not insured,1,"also insured, EUR 10,000,
EUR 150 SB",0.25%,0.00%,0.25%,,,,
Animals,,,,,,,0.50%,0.50%,0.50%,,,,
Herding other people's dogs (non-commercial and no fighting dogs),2,insured,2,insured,2,insured,,,,,,,
"Pets e.g. cats, birds (no dogs, horses, cattle)",2,insured,2,insured,2,insured,,,,,,,
Use of other people's horses for private purposes,2,insured,2,insured,2,insured,,,,,,,
Miscellaneous,,,,,,,,,,,,,
Performance guarantee compared to model conditions of the GDV,2,insured,2,insured,0,not insured,,,,,,,
Performance guarantee in relation to the Working Group on Agents Guideline,2,insured,2,insured,0,not insured,,,,,,,
Extended precaution (payment is made according to the best performing tariff on the market),0,not insured,0,not insured,0,not insured,,,,,,,
"Sustainability, environmental awareness",0,nothing special,0,nothing special,0,nothing special,,,,,,,
Other inclusions and special features,0,nothing special,0,nothing special,0,nothing special,,,,,,,
,99,99,96,96,103,103,,,,,,,